Starting experiment
Log:       log/5950x-py3-12-gregor-1000000.log
Processes: [32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]
Size:      [1000000]
Repeat:    10
Clear:     False
Debug:     False
Algorithm: multiprocessing_mergesort
Tag:       None
Total:     320
Experiment 319       : size=1000000 processes=32 repeat=0 last_time=undefined                     
Experiment 318       : size=1000000 processes=32 repeat=1 last_time=0.5235                     
Experiment 317       : size=1000000 processes=32 repeat=2 last_time=0.5246                     
Experiment 316       : size=1000000 processes=32 repeat=3 last_time=0.5261                     
Experiment 315       : size=1000000 processes=32 repeat=4 last_time=0.53                     
Experiment 314       : size=1000000 processes=32 repeat=5 last_time=0.5309                     
Experiment 313       : size=1000000 processes=32 repeat=6 last_time=0.5219                     
Experiment 312       : size=1000000 processes=32 repeat=7 last_time=0.5245                     
Experiment 311       : size=1000000 processes=32 repeat=8 last_time=0.5411                     
Experiment 310       : size=1000000 processes=32 repeat=9 last_time=0.5226                     
Experiment 309       : size=1000000 processes=31 repeat=0 last_time=0.5342                     
Experiment 308       : size=1000000 processes=31 repeat=1 last_time=0.52                     
Experiment 307       : size=1000000 processes=31 repeat=2 last_time=0.5151                     
Experiment 306       : size=1000000 processes=31 repeat=3 last_time=0.5426                     
Experiment 305       : size=1000000 processes=31 repeat=4 last_time=0.5519                     
Experiment 304       : size=1000000 processes=31 repeat=5 last_time=0.5154                     
Experiment 303       : size=1000000 processes=31 repeat=6 last_time=0.5357                     
Experiment 302       : size=1000000 processes=31 repeat=7 last_time=0.5298                     
Experiment 301       : size=1000000 processes=31 repeat=8 last_time=0.5505                     
Experiment 300       : size=1000000 processes=31 repeat=9 last_time=0.5226                     
Experiment 299       : size=1000000 processes=30 repeat=0 last_time=0.5194                     
Experiment 298       : size=1000000 processes=30 repeat=1 last_time=0.5229                     
Experiment 297       : size=1000000 processes=30 repeat=2 last_time=0.5369                     
Experiment 296       : size=1000000 processes=30 repeat=3 last_time=0.5335                     
Experiment 295       : size=1000000 processes=30 repeat=4 last_time=0.5268                     
Experiment 294       : size=1000000 processes=30 repeat=5 last_time=0.535                     
Experiment 293       : size=1000000 processes=30 repeat=6 last_time=0.5895                     
Experiment 292       : size=1000000 processes=30 repeat=7 last_time=0.5278                     
Experiment 291       : size=1000000 processes=30 repeat=8 last_time=0.5433                     
Experiment 290       : size=1000000 processes=30 repeat=9 last_time=0.5651                     
Experiment 289       : size=1000000 processes=29 repeat=0 last_time=0.5449                     
Experiment 288       : size=1000000 processes=29 repeat=1 last_time=0.5404                     
Experiment 287       : size=1000000 processes=29 repeat=2 last_time=0.526                     
Experiment 286       : size=1000000 processes=29 repeat=3 last_time=0.5956                     
Experiment 285       : size=1000000 processes=29 repeat=4 last_time=0.5353                     
Experiment 284       : size=1000000 processes=29 repeat=5 last_time=0.5472                     
Experiment 283       : size=1000000 processes=29 repeat=6 last_time=0.5555                     
Experiment 282       : size=1000000 processes=29 repeat=7 last_time=0.5464                     
Experiment 281       : size=1000000 processes=29 repeat=8 last_time=0.5663                     
Experiment 280       : size=1000000 processes=29 repeat=9 last_time=0.5516                     
Experiment 279       : size=1000000 processes=28 repeat=0 last_time=0.54                     
Experiment 278       : size=1000000 processes=28 repeat=1 last_time=0.5446                     
Experiment 277       : size=1000000 processes=28 repeat=2 last_time=0.5664                     
Experiment 276       : size=1000000 processes=28 repeat=3 last_time=0.5505                     
Experiment 275       : size=1000000 processes=28 repeat=4 last_time=0.5569                     
Experiment 274       : size=1000000 processes=28 repeat=5 last_time=0.5599                     
Experiment 273       : size=1000000 processes=28 repeat=6 last_time=0.5619                     
Experiment 272       : size=1000000 processes=28 repeat=7 last_time=0.5584                     
Experiment 271       : size=1000000 processes=28 repeat=8 last_time=0.5513                     
Experiment 270       : size=1000000 processes=28 repeat=9 last_time=0.5566                     
Experiment 269       : size=1000000 processes=27 repeat=0 last_time=0.5464                     
Experiment 268       : size=1000000 processes=27 repeat=1 last_time=0.5531                     
Experiment 267       : size=1000000 processes=27 repeat=2 last_time=0.5525                     
Experiment 266       : size=1000000 processes=27 repeat=3 last_time=0.558                     
Experiment 265       : size=1000000 processes=27 repeat=4 last_time=0.5511                     
Experiment 264       : size=1000000 processes=27 repeat=5 last_time=0.5669                     
Experiment 263       : size=1000000 processes=27 repeat=6 last_time=0.5685                     
Experiment 262       : size=1000000 processes=27 repeat=7 last_time=0.5676                     
Experiment 261       : size=1000000 processes=27 repeat=8 last_time=0.5599                     
Experiment 260       : size=1000000 processes=27 repeat=9 last_time=0.5632                     
Experiment 259       : size=1000000 processes=26 repeat=0 last_time=0.5551                     
Experiment 258       : size=1000000 processes=26 repeat=1 last_time=0.558                     
Experiment 257       : size=1000000 processes=26 repeat=2 last_time=0.565                     
Experiment 256       : size=1000000 processes=26 repeat=3 last_time=0.5671                     
Experiment 255       : size=1000000 processes=26 repeat=4 last_time=0.5889                     
Experiment 254       : size=1000000 processes=26 repeat=5 last_time=0.5649                     
Experiment 253       : size=1000000 processes=26 repeat=6 last_time=0.5713                     
Experiment 252       : size=1000000 processes=26 repeat=7 last_time=0.5902                     
Experiment 251       : size=1000000 processes=26 repeat=8 last_time=0.5729                     
Experiment 250       : size=1000000 processes=26 repeat=9 last_time=0.5543                     
Experiment 249       : size=1000000 processes=25 repeat=0 last_time=0.5632                     
Experiment 248       : size=1000000 processes=25 repeat=1 last_time=0.5825                     
Experiment 247       : size=1000000 processes=25 repeat=2 last_time=0.5592                     
