Starting experiment
Processes: [1]
Size:      [1000000000]
Repeat:    10
Clear:     False
Debug:     False
Algorithm: seq-merge
Tag:       None
Total:     10
Log:       log/seq-merge-v100-alex-1000000000.log
Experiment 9         : size=1000000000 processes=1 repeat=0 last_time=undefined                     Experiment 8         : size=1000000000 processes=1 repeat=1 last_time=10631.522                     Experiment 7         : size=1000000000 processes=1 repeat=2 last_time=10656.4948                     Experiment 6         : size=1000000000 processes=1 repeat=3 last_time=10680.8792                     Experiment 5         : size=1000000000 processes=1 repeat=4 last_time=10619.7855                     Experiment 4         : size=1000000000 processes=1 repeat=5 last_time=10636.5771                     Experiment 3         : size=1000000000 processes=1 repeat=6 last_time=10671.3721                     Experiment 2         : size=1000000000 processes=1 repeat=7 last_time=10790.205                     Experiment 1         : size=1000000000 processes=1 repeat=8 last_time=10615.7921                     Experiment 0         : size=1000000000 processes=1 repeat=9 last_time=10582.8982                     